Word,Count
'thereget,1
'genuine,6
'egwali,1
'httpswwwfacebookcomdregwaliherbalspellhome,1
'thats,49
'crazy,18
'survived,12
'team,3
'spreading,10
'message,12
'next,32
'month,30
'use,36
'first,98
'seconds,3
'video,78
'mind,20
'sister,63
'speak,13
'plz,10
'wake,3
'disliked,3
'terrible,26
'vid,4
'starving,1
'malnutrition,2
'youngboy,1
'getting,61
'gersons,1
'book,9
'sofaygo,1
'offratio,1
'left,23
'iam,6
'yrs,29
'yesterday,9
'concerned,6
'look,94
'face,16
'mammogram,8
'week,40
'didliked,1
'abdul,2
'fast,26
'recory,1
'everybody,8
'todaygod,1
'strenght,3
'psalm,4
'inlaw,2
'cm,5
'chemolet,1
'unite,2
'firm,1
'accompy,1
'batlle,1
'victorious,2
'served,2
'special,11
'osuma,4
'clear,6
'doubts,1
'againcancer,1
'natural,67
'fight,76
'searching,2
'sunli,4
'gandhi,4
'hiv,162
'solution,15
'despite,8
'spend,10
'buy,11
'keep,181
'taking,57
'several,17
'post,14
'anita,4
'sometimes,21
'drharvey,15
'asked,18
'questions,15
'forget,22
'contacts,4
'hisher,4
'asks,5
'amazed,9
'heard,26
'test,84
'confirm,6
'status,5
'hospital,51
'final,7
'running,6
'wow,64
'tears,14
'herbsif,4
'anybody,8
'situation,17
'cures,18
'via,30
'emaildrharveyphytotherapyyahoocom,11
'bestie,1
'aba,1
'recommend,16
'ifa,3
'epilepsycancer,1
'hpv,13
'onvisit,2
'website,4
'todayhttpsdrifahomecentrejimdositecom,2
'fake,5
'gmaildrifahomegmailcom,2
'pancreatic,50
'husbands,1
'symptom,2
'atkins,1
'diet,24
'wasnt,11
'faithful,6
'weight,34
'peeling,1
'realized,5
'due,24
'soon,98
'trouble,10
'eating,13
'increased,4
'turning,2
'yellow,1
'overnight,2
'led,4
'visit,18
'started,34
'greasy,1
'floating,1
'bowel,3
'movements,1
'liverwe,1
'diffrent,1
'workingwe,1
'alot,7
'harbal,1
'medicineshe,1
'productsso,1
'everythig,1
'according,4
'priscriptions,1
'trace,1
'systemit,1
'miracle,13
'semilar,1
'cases,4
'kindly,4
'whatsapp,34
'httpsyoutuberhcycruc,1
'maam,1
u,120
'ok,26
'fodder,1
'aint,5
'beating,7
'congrats,3
'surviving,6
'truly,40
'roots,14
'areas,2
'concentration,2
'sexually,3
'transmitted,2
'sti,1
'referred,5
'std,6
'venereal,1
'vd,2
'info,6
'thrilled,1
'teared,5
'entire,12
'fought,7
'girl,123
'local,10
'community,10
'surgeon,3
'performed,2
'lumpectomy,4
'nodes,15
'year,87
'another,39
'brain,16
'given,21
'nothing,34
'possibly,6
'done,50
'emotional,12
'state,9
'someones,2
'propolis,2
'lecithin,2
'capsules,3
'desperate,4
'decided,12
'bought,6
'consumed,6
'exactly,30
'instructed,3
'completing,2
'chance,22
'drharveyphytotherapyyahoocom,6
'feed,3
'diane,1
'began,5
'november,7
'slight,2
'burning,5
'sensation,2
'daycare,1
'provider,1
'neglected,1
'hoping,12
'temporary,3
'eve,1
'severe,6
'scheduled,6
'received,15
'letter,2
'telling,10
'return,6
'suspicious,2
'findings,1
'film,10
'needed,21
'testing,8
'previous,3
'october,8
'wrong,19
'nowhere,3
'turn,11
'primary,7
'called,32
'older,19
'gynecologist,2
'explained,7
'immediately,11
'biopsy,34
'avail,1
'mate,3
'dana,1
'introduced,4
'pythothrapist,1
'alone,32
'greatful,3
'lifehe,1
'silence,2
'since,39
'hero,10
'whenever,9
'seeing,24
'hopefully,13
'couple,34
'delaware,3
'surgery,78
'wanted,23
'learned,10
'effectiveness,5
'available,17
'ayes,10
'worlda,3
'center,14
'underwent,8
'seven,8
'daily,21
'therapy,36
'administering,3
'remedy,12
'men,27
'incredible,27
'bond,3
'illnesses,4
'check,34
'compare,4
'notes,4
'updatesbut,3
'end,40
'conducting,4
'series,6
'choice,9
'offer,6
'type,27
'even,90
'contacting,3
'chemo,210
'radiation,69
'medicinewith,3
'foreverall,3
'urge,3
'whats,26
'app,10
'emaildrayesherbalmedicinegmailcom,2
'recovery,72
'bodies,4
'starved,1
'nutrition,4
'grow,11
'system,30
'starve,1
'shrink,6
'tumors,11
'shrinking,2
'leaps,1
'bounds,1
'disappear,3
'fairly,1
'moving,11
'term,2
'hundreds,1
'chris,1
'iti,2
'iv,16
'mestastasized,1
'hip,4
'joint,1
'flooding,1
'nutritionwonderful,1
'juices,2
'nice,16
'luckybaral,1
'discovered,3
'accident,3
'birth,2
'child,17
'noticed,5
'small,13
'milk,10
'think,92
'feeding,4
'carrying,1
'baby,13
'radiologist,2
'straight,12
'believed,5
'asap,2
'otherwise,2
'overlooked,1
'milky,1
'discharge,1
'nipple,1
'chemotherapy,56
'mastectomy,10
'reconstruction,4
'persists,1
'two,41
'raise,6
'email,30
'prepared,4
'dhl,3
'courier,3
'service,5
'administered,1
'superb,2
'alede,2
'complain,6
'taught,2
'helps,35
'draledeherpescuregmailcom,2
'drop,4
'vital,4
'information,16
