data,tokens
comment : god loved world gave begotten son whosoever believeth perish everlasting life,"['comment', 'god', 'love', 'world', 'give', 'beget', 'son', 'whosoever', 'believeth', 'perish', 'everlasting', 'life']"
comment : wife scared cant show,"['comment', 'wife', 'scar', 'cant', 'show']"
comment : god great contacted doctorpatrickelvis concerning son autistic past five years sent medicines used one months son free autism talks clearly good eye contact love play children verbal head hurts bitting clothes hands behave normal living fulfil life httpsyoutubecomchannelucfapncmferchukryw doctorpatrickelvis,"['comment', 'god', 'great', 'contact', 'doctorpatrickelvis', 'concern', 'son', 'autistic', 'past', 'five', 'years', 'send', 'medicine', 'use', 'one', 'months', 'son', 'free', 'autism', 'talk', 'clearly', 'good', 'eye', 'contact', 'love', 'play', 'children', 'verbal', 'head', 'hurt', 'bitting', 'clothe', 'hand', 'behave', 'normal', 'live', 'fulfil', 'life', 'httpsyoutubecomchannelucfapncmferchukryw', 'doctorpatrickelvis']"
comment : god great contacted doctorpatrickelvis concerning son autistic past five years sent medicines used one months son free autism talks clearly good eye contact love play children verbal head hurts bitting clothes hands behave normal living fulfil life httpsyoutubecomchannelucfapncmferchukryw doctorpatrickelvis,"['comment', 'god', 'great', 'contact', 'doctorpatrickelvis', 'concern', 'son', 'autistic', 'past', 'five', 'years', 'send', 'medicine', 'use', 'one', 'months', 'son', 'free', 'autism', 'talk', 'clearly', 'good', 'eye', 'contact', 'love', 'play', 'children', 'verbal', 'head', 'hurt', 'bitting', 'clothe', 'hand', 'behave', 'normal', 'live', 'fulfil', 'life', 'httpsyoutubecomchannelucfapncmferchukryw', 'doctorpatrickelvis']"
comment : would love appreciate dr osoria bringing back happiness life hes herbal wonders youre saint cherish meeting youre good drosoria,"['comment', 'would', 'love', 'appreciate', 'dr', 'osoria', 'bring', 'back', 'happiness', 'life', 'hes', 'herbal', 'wonder', 'youre', 'saint', 'cherish', 'meet', 'youre', 'good', 'drosoria']"
comment : really scared get relationship anyone untill get cured never knew herpes deadly hurts emotionally thanks dr igho channel helping sacred antidote,"['comment', 'really', 'scar', 'get', 'relationship', 'anyone', 'untill', 'get', 'cure', 'never', 'know', 'herpes', 'deadly', 'hurt', 'emotionally', 'thank', 'dr', 'igho', 'channel', 'help', 'sacred', 'antidote']"
comment : ratio,"['comment', 'ratio']"
comment : right breast removed cancer gon na let get way going beat ugly thing choose positive believe lord side believe heart jesus wont help give lord see happens may live earth may go live great lord,"['comment', 'right', 'breast', 'remove', 'cancer', 'gon', 'na', 'let', 'get', 'way', 'go', 'beat', 'ugly', 'thing', 'choose', 'positive', 'believe', 'lord', 'side', 'believe', 'heart', 'jesus', 'wont', 'help', 'give', 'lord', 'see', 'happen', 'may', 'live', 'earth', 'may', 'go', 'live', 'great', 'lord']"
comment : big thanks doc may god reward richly please guys also try sour sop fruits recipes lot patients recovered fully using,"['comment', 'big', 'thank', 'doc', 'may', 'god', 'reward', 'richly', 'please', 'guy', 'also', 'try', 'sour', 'sop', 'fruit', 'recipes', 'lot', 'patients', 'recover', 'fully', 'use']"
comment : would like know could give dr morans adress nd pone noumber plese friend told brest cancer would great full could help,"['comment', 'would', 'like', 'know', 'could', 'give', 'dr', 'morans', 'adress', 'nd', 'pone', 'noumber', 'plese', 'friend', 'tell', 'brest', 'cancer', 'would', 'great', 'full', 'could', 'help']"
comment : mother suffering stage breast cancer treatment hand legs got swollen,"['comment', 'mother', 'suffer', 'stage', 'breast', 'cancer', 'treatment', 'hand', 'legs', 'get', 'swell']"
comment : dr igho medication experience helped speed healing process wonder might become hadnt come across channel youtube god bless dr igho helping cure cancer naturally god bless,"['comment', 'dr', 'igho', 'medication', 'experience', 'help', 'speed', 'heal', 'process', 'wonder', 'might', 'become', 'hadnt', 'come', 'across', 'channel', 'youtube', 'god', 'bless', 'dr', 'igho', 'help', 'cure', 'cancer', 'naturally', 'god', 'bless']"
comment : feel something hard breast painful touch worst part cant get medical assistant help journey,"['comment', 'feel', 'something', 'hard', 'breast', 'painful', 'touch', 'worst', 'part', 'cant', 'get', 'medical', 'assistant', 'help', 'journey']"
comment : world people like would better place make difference dr igho youtube thank curing breast cancer introducing herbal products worlds,"['comment', 'world', 'people', 'like', 'would', 'better', 'place', 'make', 'difference', 'dr', 'igho', 'youtube', 'thank', 'cure', 'breast', 'cancer', 'introduce', 'herbal', 'products', 'worlds']"
comment : humbly appreciate kind gesture drauchi youtube channel able help health issues breast cancer disease something world thought cure ’ happy say today ’ cured herbs ’ glad doctor…httpsyoutubecomchanneluctatilkxbylcrcg,"['comment', 'humbly', 'appreciate', 'kind', 'gesture', 'drauchi', 'youtube', 'channel', 'able', 'help', 'health', 'issue', 'breast', 'cancer', 'disease', 'something', 'world', 'think', 'cure', 'happy', 'say', 'today', 'cure', 'herbs', 'glad']"
comment : beat goku tho,"['comment', 'beat', 'goku', 'tho']"
