data,tokens
comment : big good luck italy🤞,"['comment', 'big', 'good', 'luck']"
comment :,['comment']
comment : really feel bad delia amazing shouldnt go love guys stay strong delia cancer free soon,"['comment', 'really', 'feel', 'bad', 'delia', 'amaze', 'shouldnt', 'go', 'love', 'guy', 'stay', 'strong', 'delia', 'cancer', 'free', 'soon']"
comment : tree sooooo pretty,"['comment', 'tree', 'sooooo', 'pretty']"
comment : love honey thanks much videos helps going,"['comment', 'love', 'honey', 'thank', 'much', 'videos', 'help', 'go']"
comment : ’ speechless strength,"['comment', 'speechless', 'strength']"
comment : mom passed away breast ca first cousin pass didnt gav drugs chemo brave great,"['comment', 'mom', 'pass', 'away', 'breast', 'ca', 'first', 'cousin', 'pass', 'didnt', 'gav', 'drug', 'chemo', 'brave', 'great']"
comment : amazing strong beautiful sending love prayers,"['comment', 'amaze', 'strong', 'beautiful', 'send', 'love', 'prayers']"
comment : husband aml years ago rounds chemo one drugs idarubicin autologous bone marrow transplant still living dream years later wishing outcome,"['comment', 'husband', 'aml', 'years', 'ago', 'round', 'chemo', 'one', 'drug', 'idarubicin', 'autologous', 'bone', 'marrow', 'transplant', 'still', 'live', 'dream', 'years', 'later', 'wish', 'outcome']"
comment : bless sweet heart delia strong brave sweetheart im still keeping lifted prayer love guys indiana,"['comment', 'bless', 'sweet', 'heart', 'delia', 'strong', 'brave', 'sweetheart', 'im', 'still', 'keep', 'lift', 'prayer', 'love', 'guy', 'indiana']"
comment : would guys able talk cost ’ uk us everything would free nhs ’ know whether insurance covers stuff like,"['comment', 'would', 'guy', 'able', 'talk', 'cost', 'uk', 'us', 'everything', 'would', 'free', 'nhs', 'know', 'whether', 'insurance', 'cover', 'stuff', 'like']"
comment : dear special praying stay strong got xoxo,"['comment', 'dear', 'special', 'pray', 'stay', 'strong', 'get', 'xoxo']"
comment : praying hard delia,"['comment', 'pray', 'hard', 'delia']"
comment : sending lots love support xxx strong baby 🥰🥰🥰🥰,"['comment', 'send', 'lot', 'love', 'support', 'xxx', 'strong', 'baby']"
comment : mom take cyclophosphamide couple months 🤕,"['comment', 'mom', 'take', 'cyclophosphamide', 'couple', 'months']"
comment : thanks sharing journey easy road informative im sure others feel stronger faced diagnoses thanks,"['comment', 'thank', 'share', 'journey', 'easy', 'road', 'informative', 'im', 'sure', 'others', 'feel', 'stronger', 'face', 'diagnose', 'thank']"
comment : delia strong even new journey youve always strong making stronger keep believe love much hun huge inspiration know youll much great world love,"['comment', 'delia', 'strong', 'even', 'new', 'journey', 'youve', 'always', 'strong', 'make', 'stronger', 'keep', 'believe', 'love', 'much', 'hun', 'huge', 'inspiration', 'know', 'youll', 'much', 'great', 'world', 'love']"
comment : delia trooper ’ sweetest person ’ ever meet ’ seen twice costa vida ’ always smile face ’ strong extremely speechless way ’ tackling,"['comment', 'delia', 'trooper', 'sweetest', 'person', 'ever', 'meet', 'see', 'twice', 'costa', 'vida', 'always', 'smile', 'face', 'strong', 'extremely', 'speechless', 'way', 'tackle']"
comment : video going help lot people thank delia sharing vulnerable yet empowering moments sending positive vibes guys,"['comment', 'video', 'go', 'help', 'lot', 'people', 'thank', 'delia', 'share', 'vulnerable', 'yet', 'empower', 'moments', 'send', 'positive', 'vibes', 'guy']"
comment : prayers,"['comment', 'prayers']"
comment : u sure trooper beautiful deep precious soul much even hubbie hasmany prayers hugs 🤗,"['comment', 'u', 'sure', 'trooper', 'beautiful', 'deep', 'precious', 'soul', 'much', 'even', 'hubbie', 'hasmany', 'prayers', 'hug']"
comment : delia strong amazing got praying full recovery person debilitating spine condition leaves pain much time fight thru depression watched video gives strength like smile thru life throws way,"['comment', 'delia', 'strong', 'amaze', 'get', 'pray', 'full', 'recovery', 'person', 'debilitate', 'spine', 'condition', 'leave', 'pain', 'much', 'time', 'fight', 'thru', 'depression', 'watch', 'video', 'give', 'strength', 'like', 'smile', 'thru', 'life', 'throw', 'way']"
comment : happened channel started watching journey breast cancer freshman uvu uvsc still lost breasts received tamoxifen year rockstar hero praying family,"['comment', 'happen', 'channel', 'start', 'watch', 'journey', 'breast', 'cancer', 'freshman', 'uvu', 'uvsc', 'still', 'lose', 'breast', 'receive', 'tamoxifen', 'year', 'rockstar', 'hero', 'pray', 'family']"
comment : delia dylan daily thoughts prayers glad port easier shoes fun alone husband working insane hours time take oral maintenance meds years ribbon tree beautiful tribute 🥰 saline taste metallic 🤢 delia strong person 🥰 aloha hawaii lyssa,"['comment', 'delia', 'dylan', 'daily', 'thoughts', 'prayers', 'glad', 'port', 'easier', 'shoe', 'fun', 'alone', 'husband', 'work', 'insane', 'hours', 'time', 'take', 'oral', 'maintenance', 'meds', 'years', 'ribbon', 'tree', 'beautiful', 'tribute', 'saline', 'taste', 'metallic', 'delia', 'strong', 'person', 'aloha', 'hawaii', 'lyssa']"
comment :,['comment']
comment : delia handling wish grace shes amazing inspiring watch,"['comment', 'delia', 'handle', 'wish', 'grace', 'shes', 'amaze', 'inspire', 'watch']"
comment : im new herehow old,"['comment', 'im', 'new', 'herehow', 'old']"
comment : triple negative breast cancer mom sister hard alive today,"['comment', 'triple', 'negative', 'breast', 'cancer', 'mom', 'sister', 'hard', 'alive', 'today']"
comment : proud,"['comment', 'proud']"
comment : delia,"['comment', 'delia']"
comment : hola porfa ponga para traduccir en español espero q te recuperes pq eres una guerrera un un gran esposo bendiciones para ambos,"['comment', 'hola', 'porfa', 'ponga', 'para', 'traduccir', 'en', 'español', 'espero', 'q', 'te', 'recuperes', 'pq', 'eres', 'una', 'guerrera', 'un', 'un', 'gran', 'esposo', 'bendiciones', 'para', 'ambos']"
comment : sweetie angel going thrudoing others amazing im still praying,"['comment', 'sweetie', 'angel', 'go', 'thrudoing', 'others', 'amaze', 'im', 'still', 'pray']"
comment : may god bless healing,"['comment', 'may', 'god', 'bless', 'heal']"
comment : thank delia sharing journey god bless pray sweet husband lovely lady,"['comment', 'thank', 'delia', 'share', 'journey', 'god', 'bless', 'pray', 'sweet', 'husband', 'lovely', 'lady']"
comment : truly make proud… breast cancer survivor god,"['comment', 'truly', 'make', 'breast', 'cancer', 'survivor', 'god']"
comment : delia keep prayers ’ brave soul keep staying strong father god help holy ghost guide jesus name pray love both🤟,"['comment', 'delia', 'keep', 'prayers', 'brave', 'soul', 'keep', 'stay', 'strong', 'father', 'god', 'help', 'holy', 'ghost', 'guide', 'jesus', 'name', 'pray', 'love']"
comment : dear delia sorry hear sad news mom dinogsed breast cancer year ago remember got results back doctor mom crying together tough time us cancer free year glad went chemotherapy surgery radiation mom dr recommended chemotherapy first due tumors hugs lumpectomy radiation last time believed natureral way also mom take turmeric power hot water honey fresh burdock root dry soursop leaves fresh dandelion leaves boil drink tea drink every day mom dr surprised fast tumors shrink even lumpectomy schedule please check things things help shrink cancer tumors fight cancer turmeric root powder dry soursop leaves burdock root dandelion leaves dandelion leaves burdock root turmeric root powder buy organic grocery store dry soursop leaves buy amazon,"['comment', 'dear', 'delia', 'sorry', 'hear', 'sad', 'news', 'mom', 'dinogsed', 'breast', 'cancer', 'year', 'ago', 'remember', 'get', 'result', 'back', 'doctor', 'mom', 'cry', 'together', 'tough', 'time', 'us', 'cancer', 'free', 'year', 'glad', 'go', 'chemotherapy', 'surgery', 'radiation', 'mom', 'dr', 'recommend', 'chemotherapy', 'first', 'due', 'tumors', 'hug', 'lumpectomy', 'radiation', 'last', 'time', 'believe', 'natureral', 'way', 'also', 'mom', 'take', 'turmeric', 'power', 'hot', 'water', 'honey', 'fresh', 'burdock', 'root', 'dry', 'soursop', 'leave', 'fresh', 'dandelion', 'leave', 'boil', 'drink', 'tea', 'drink', 'every', 'day', 'mom', 'dr', 'surprise', 'fast', 'tumors', 'shrink', 'even', 'lumpectomy', 'schedule', 'please', 'check', 'things', 'things', 'help', 'shrink', 'cancer', 'tumors', 'fight', 'cancer', 'turmeric', 'root', 'powder', 'dry', 'soursop', 'leave', 'burdock', 'root', 'dandelion', 'leave', 'dandelion', 'leave', 'burdock', 'root', 'turmeric', 'root', 'powder', 'buy', 'organic', 'grocery', 'store', 'dry', 'soursop', 'leave', 'buy', 'amazon']"
comment : seeing adriamycin made heart hurt ’ breast cancer twice first time years old used red devil second time part treatment cancer free years see let eat popsicles treatment really helps mouth sores god bless good luck,"['comment', 'see', 'adriamycin', 'make', 'heart', 'hurt', 'breast', 'cancer', 'twice', 'first', 'time', 'years', 'old', 'use', 'red', 'devil', 'second', 'time', 'part', 'treatment', 'cancer', 'free', 'years', 'see', 'let', 'eat', 'popsicles', 'treatment', 'really', 'help', 'mouth', 'sores', 'god', 'bless', 'good', 'luck']"
comment : stay strong delia husband amazing supportive,"['comment', 'stay', 'strong', 'delia', 'husband', 'amaze', 'supportive']"
comment : know strong know strong hope become cancer free soon ’ forget ’ hero,"['comment', 'know', 'strong', 'know', 'strong', 'hope', 'become', 'cancer', 'free', 'soon', 'forget', 'hero']"
comment : god bless,"['comment', 'god', 'bless']"
comment : wishing speedy recovery going beat cancer butt got girl,"['comment', 'wish', 'speedy', 'recovery', 'go', 'beat', 'cancer', 'butt', 'get', 'girl']"
comment : praying,"['comment', 'pray']"
comment : positivity strength beautiful thank sharing us,"['comment', 'positivity', 'strength', 'beautiful', 'thank', 'share', 'us']"
comment : prayers beautiful,"['comment', 'prayers', 'beautiful']"
comment : new friend sending healing prayers hugs positive vibes cynthia coast oregon great grandmother moms sisters little sister suffereddied breast cancer benign tumors removed since davesandersstepdaughter,"['comment', 'new', 'friend', 'send', 'heal', 'prayers', 'hug', 'positive', 'vibes', 'cynthia', 'coast', 'oregon', 'great', 'grandmother', 'moms', 'sisters', 'little', 'sister', 'suffereddied', 'breast', 'cancer', 'benign', 'tumors', 'remove', 'since', 'davesandersstepdaughter']"
comment : god bless delia prayers kick cancers butt,"['comment', 'god', 'bless', 'delia', 'prayers', 'kick', 'cancers', 'butt']"
comment : husband diagnosed aggressive brain tumor still year old home,"['comment', 'husband', 'diagnose', 'aggressive', 'brain', 'tumor', 'still', 'year', 'old', 'home']"
comment : strong sweet sending continued love prayers,"['comment', 'strong', 'sweet', 'send', 'continue', 'love', 'prayers']"
comment : sending good vibes saw cancer broke heart age hope god keeps safe,"['comment', 'send', 'good', 'vibes', 'saw', 'cancer', 'break', 'heart', 'age', 'hope', 'god', 'keep', 'safe']"
comment : delia positive example women ages know faith lot positive attitude also believe lot whoever raised strong positive sweet person people world praying dylan family ’ got,"['comment', 'delia', 'positive', 'example', 'women', 'age', 'know', 'faith', 'lot', 'positive', 'attitude', 'also', 'believe', 'lot', 'whoever', 'raise', 'strong', 'positive', 'sweet', 'person', 'people', 'world', 'pray', 'dylan', 'family', 'get']"
comment : hold soldier truly role model wish best recover soon,"['comment', 'hold', 'soldier', 'truly', 'role', 'model', 'wish', 'best', 'recover', 'soon']"
comment : walked treatment shes better woman,"['comment', 'walk', 'treatment', 'shes', 'better', 'woman']"
comment : blessing going battles covered around world much love strength coming way 🤎🤍,"['comment', 'bless', 'go', 'battle', 'cover', 'around', 'world', 'much', 'love', 'strength', 'come', 'way']"
comment : youre thoughts,"['comment', 'youre', 'thoughts']"
comment : many prayers beautiful wife,"['comment', 'many', 'prayers', 'beautiful', 'wife']"
comment : wowwhat inspiration keep fighting got,"['comment', 'wowwhat', 'inspiration', 'keep', 'fight', 'get']"
comment : god bless sweet girl incredible job getting sending love prayers positive energy way,"['comment', 'god', 'bless', 'sweet', 'girl', 'incredible', 'job', 'get', 'send', 'love', 'prayers', 'positive', 'energy', 'way']"
comment : breaks heart life cruel beat,"['comment', 'break', 'heart', 'life', 'cruel', 'beat']"
comment : know ’ much harder behind scenes put best foot forward show us strong want give extra love extra hugs moments ’ see ’ share difficult pray feel good get fast know lot support,"['comment', 'know', 'much', 'harder', 'behind', 'scenes', 'put', 'best', 'foot', 'forward', 'show', 'us', 'strong', 'want', 'give', 'extra', 'love', 'extra', 'hug', 'moments', 'see', 'share', 'difficult', 'pray', 'feel', 'good', 'get', 'fast', 'know', 'lot', 'support']"
comment : red devil crazy done fight canceryou warriorthank sharing journey decision change treatment centers,"['comment', 'red', 'devil', 'crazy', 'do', 'fight', 'canceryou', 'warriorthank', 'share', 'journey', 'decision', 'change', 'treatment', 'center']"
comment : also flavor flush gross hated especially already queasy chemo,"['comment', 'also', 'flavor', 'flush', 'gross', 'hat', 'especially', 'already', 'queasy', 'chemo']"
comment : port could always taste saline,"['comment', 'port', 'could', 'always', 'taste', 'saline']"
comment :,['comment']
comment : prayers day happy halfway mark treatments bless futurewe love youre pure hope,"['comment', 'prayers', 'day', 'happy', 'halfway', 'mark', 'treatments', 'bless', 'futurewe', 'love', 'youre', 'pure', 'hope']"
comment : beautiful positive soul,"['comment', 'beautiful', 'positive', 'soul']"
comment : ’ keep prayers love,"['comment', 'keep', 'prayers', 'love']"
comment : hope get better soon red medicine thats given minutes looks soooo scary hope wont need anymore soon youre strong lady best wishes,"['comment', 'hope', 'get', 'better', 'soon', 'red', 'medicine', 'thats', 'give', 'minutes', 'look', 'soooo', 'scary', 'hope', 'wont', 'need', 'anymore', 'soon', 'youre', 'strong', 'lady', 'best', 'wish']"
comment : stumbled across channel think ’ far best thing ’ ever seen youtube delia strong watching journey honestly given strength,"['comment', 'stumble', 'across', 'channel', 'think', 'far', 'best', 'thing', 'ever', 'see', 'youtube', 'delia', 'strong', 'watch', 'journey', 'honestly', 'give', 'strength']"
comment : beautiful soul may god bless love god back percent,"['comment', 'beautiful', 'soul', 'may', 'god', 'bless', 'love', 'god', 'back', 'percent']"
comment : chatwin fam,"['comment', 'chatwin', 'fam']"
comment : im pharmacist cancer center primarily focus breast cancer person verifies mixes medications dont often get interact patients beautiful reminder behind every syringe bag person going battle thank much sharing journey thoughts prayers ps ask doctor magic mouthwash get sores mouth usually get hospital compounded local community pharmacy,"['comment', 'im', 'pharmacist', 'cancer', 'center', 'primarily', 'focus', 'breast', 'cancer', 'person', 'verify', 'mix', 'medications', 'dont', 'often', 'get', 'interact', 'patients', 'beautiful', 'reminder', 'behind', 'every', 'syringe', 'bag', 'person', 'go', 'battle', 'thank', 'much', 'share', 'journey', 'thoughts', 'prayers', 'ps', 'ask', 'doctor', 'magic', 'mouthwash', 'get', 'sores', 'mouth', 'usually', 'get', 'hospital', 'compound', 'local', 'community', 'pharmacy']"
comment : awe strong keep positive laugh read funny books finished tradition treatments well totally get tasting spearment gum sniff essential oils saved often rubbed wrists sniff chemical smells got strong also great onocology mouth wash canker soars works ill find pic dm got girl warrior,"['comment', 'awe', 'strong', 'keep', 'positive', 'laugh', 'read', 'funny', 'book', 'finish', 'tradition', 'treatments', 'well', 'totally', 'get', 'taste', 'spearment', 'gum', 'sniff', 'essential', 'oil', 'save', 'often', 'rub', 'wrists', 'sniff', 'chemical', 'smell', 'get', 'strong', 'also', 'great', 'onocology', 'mouth', 'wash', 'canker', 'soar', 'work', 'ill', 'find', 'pic', 'dm', 'get', 'girl', 'warrior']"
comment : long ago mention th treatment end video ’ th treatment wondering filmed past ago,"['comment', 'long', 'ago', 'mention', 'th', 'treatment', 'end', 'video', 'th', 'treatment', 'wonder', 'film', 'past', 'ago']"
comment : continuing pray delia drsnurses caring thank much sharing journey us powerful able see cancer battle,"['comment', 'continue', 'pray', 'delia', 'drsnurses', 'care', 'thank', 'much', 'share', 'journey', 'us', 'powerful', 'able', 'see', 'cancer', 'battle']"
comment : ’ often comment delia ’ sending prayers complete recovery brave young woman share journey others youtube going fight sweet girl sending hugs 🤗 blessings queensland australia kickcancersbutt yougotthis staystrongandfight 🤗🤗🤗🤗,"['comment', 'often', 'comment', 'delia', 'send', 'prayers', 'complete', 'recovery', 'brave', 'young', 'woman', 'share', 'journey', 'others', 'youtube', 'go', 'fight', 'sweet', 'girl', 'send', 'hug', 'bless', 'queensland', 'australia', 'kickcancersbutt', 'yougotthis', 'staystrongandfight']"
comment : praying,"['comment', 'pray']"
comment : stumbled channel literally minutes ago idk seem like sweet beautiful young lady hugs prayers delia,"['comment', 'stumble', 'channel', 'literally', 'minutes', 'ago', 'idk', 'seem', 'like', 'sweet', 'beautiful', 'young', 'lady', 'hug', 'prayers', 'delia']"
comment : lots love cant watch psrticular one watching push red drug line made naseous gave serious panic attack four years cancer battle sending much love support got,"['comment', 'lot', 'love', 'cant', 'watch', 'psrticular', 'one', 'watch', 'push', 'red', 'drug', 'line', 'make', 'naseous', 'give', 'serious', 'panic', 'attack', 'four', 'years', 'cancer', 'battle', 'send', 'much', 'love', 'support', 'get']"
comment : go delia strong rooting way sweden,"['comment', 'go', 'delia', 'strong', 'root', 'way', 'sweden']"
comment : beautiful strong praying sister much love sent way,"['comment', 'beautiful', 'strong', 'pray', 'sister', 'much', 'love', 'send', 'way']"
comment : praying,"['comment', 'pray']"
comment :,['comment']
comment : bless gods healing continued strength,"['comment', 'bless', 'gods', 'heal', 'continue', 'strength']"
comment : delia,"['comment', 'delia']"
comment : excuse language thats bs regardless covid would make anyone shame youve times prior 🤍🤍,"['comment', 'excuse', 'language', 'thats', 'bs', 'regardless', 'covid', 'would', 'make', 'anyone', 'shame', 'youve', 'time', 'prior']"
comment :,['comment']
comment : praying believe jesus healer believing miracle trust life,"['comment', 'pray', 'believe', 'jesus', 'healer', 'believe', 'miracle', 'trust', 'life']"
comment : praying strength endurance treatments complete healing recovery chingona bad,"['comment', 'pray', 'strength', 'endurance', 'treatments', 'complete', 'heal', 'recovery', 'chingona', 'bad']"
comment : went exact thing year followed weeks daily radiation tough road support reconstruction comes sept two times breast cancer survivor stay positive share knowledge,"['comment', 'go', 'exact', 'thing', 'year', 'follow', 'weeks', 'daily', 'radiation', 'tough', 'road', 'support', 'reconstruction', 'come', 'sept', 'two', 'time', 'breast', 'cancer', 'survivor', 'stay', 'positive', 'share', 'knowledge']"
comment : ’ finding channel eyes already watering dad stage liver cancer lives changed dramatically far ’ downhill stumble journey life short never live life regrets never know long ’ hope find cure someday,"['comment', 'find', 'channel', 'eye', 'already', 'water', 'dad', 'stage', 'liver', 'cancer', 'live', 'change', 'dramatically', 'far', 'downhill', 'stumble', 'journey', 'life', 'short', 'never', 'live', 'life', 'regret', 'never', 'know', 'long', 'hope', 'find', 'cure', 'someday']"
comment : indeed brave adriamycin reasonably anticipated carcinogenic well high risk heart damaging looked,"['comment', 'indeed', 'brave', 'adriamycin', 'reasonably', 'anticipate', 'carcinogenic', 'well', 'high', 'risk', 'heart', 'damage', 'look']"
comment : thank first infusion last week feel alone see videos thank,"['comment', 'thank', 'first', 'infusion', 'last', 'week', 'feel', 'alone', 'see', 'videos', 'thank']"
comment : strong beautiful,"['comment', 'strong', 'beautiful']"
comment : prayers continue delia love strong positive,"['comment', 'prayers', 'continue', 'delia', 'love', 'strong', 'positive']"
comment : delia warrior smile beautiful keep fighting ’ praying love tshirt showed ’ year sister survivor keep sweet beautiful self 🤗,"['comment', 'delia', 'warrior', 'smile', 'beautiful', 'keep', 'fight', 'pray', 'love', 'tshirt', 'show', 'year', 'sister', 'survivor', 'keep', 'sweet', 'beautiful', 'self']"
comment : httpsyoutuberratdfbg heres healing prayer utube video theres many utube play,"['comment', 'httpsyoutuberratdfbg', 'heres', 'heal', 'prayer', 'utube', 'video', 'theres', 'many', 'utube', 'play']"
comment : delia sweetest girl world sending love,"['comment', 'delia', 'sweetest', 'girl', 'world', 'send', 'love']"
comment : lord gives strongest soldiers hardest battles sucks god faithful prevail prayers california,"['comment', 'lord', 'give', 'strongest', 'soldier', 'hardest', 'battle', 'suck', 'god', 'faithful', 'prevail', 'prayers', 'california']"
comment :,['comment']
comment : actually like taste saline ’ pushed iv ’ know eek girl ’ brave beautiful kick cancers ass ’ ok,"['comment', 'actually', 'like', 'taste', 'saline', 'push', 'iv', 'know', 'eek', 'girl', 'brave', 'beautiful', 'kick', 'cancers', 'ass', 'ok']"
comment : went last year strong wonderful support everyone pray,"['comment', 'go', 'last', 'year', 'strong', 'wonderful', 'support', 'everyone', 'pray']"
comment : sorry going ’ years old diagnosed cardiac angiosarcoma almost four months ago rare type cancer tumor heart going treatments well know hard devastating cancer awful thing warriors get rooting,"['comment', 'sorry', 'go', 'years', 'old', 'diagnose', 'cardiac', 'angiosarcoma', 'almost', 'four', 'months', 'ago', 'rare', 'type', 'cancer', 'tumor', 'heart', 'go', 'treatments', 'well', 'know', 'hard', 'devastate', 'cancer', 'awful', 'thing', 'warriors', 'get', 'root']"
comment : love delia sending prayers way know get amazing support system around strong powerful thank shinning light hard topic many people,"['comment', 'love', 'delia', 'send', 'prayers', 'way', 'know', 'get', 'amaze', 'support', 'system', 'around', 'strong', 'powerful', 'thank', 'shin', 'light', 'hard', 'topic', 'many', 'people']"
comment : delia amazing beautiful dylan support love truly wonderful touched video really tugs heart went exact treatment years ago definitely challenging intense say least graceful admirable share experience heinous disease fellow young survivor years october commend bravery strength inspiring even type tears watching small tip like share trader joes coconutaloe water gingin ginger candies saviors rounds act chemotherapy also hot epsom salt baths soothed achy bones neupogenneulasta shots sending much love light way gorgeous girl,"['comment', 'delia', 'amaze', 'beautiful', 'dylan', 'support', 'love', 'truly', 'wonderful', 'touch', 'video', 'really', 'tug', 'heart', 'go', 'exact', 'treatment', 'years', 'ago', 'definitely', 'challenge', 'intense', 'say', 'least', 'graceful', 'admirable', 'share', 'experience', 'heinous', 'disease', 'fellow', 'young', 'survivor', 'years', 'october', 'commend', 'bravery', 'strength', 'inspire', 'even', 'type', 'tear', 'watch', 'small', 'tip', 'like', 'share', 'trader', 'joes', 'coconutaloe', 'water', 'gingin', 'ginger', 'candy', 'saviors', 'round', 'act', 'chemotherapy', 'also', 'hot', 'epsom', 'salt', 'bath', 'soothe', 'achy', 'bone', 'neupogenneulasta', 'shots', 'send', 'much', 'love', 'light', 'way', 'gorgeous', 'girl']"
comment : beautiful inside out……prayers healing,"['comment', 'beautiful', 'inside', 'heal']"
comment : praying complete healing whit god things possible got,"['comment', 'pray', 'complete', 'heal', 'whit', 'god', 'things', 'possible', 'get']"
comment : delia beautiful inside sooo strong god bless,"['comment', 'delia', 'beautiful', 'inside', 'sooo', 'strong', 'god', 'bless']"
comment : best,"['comment', 'best']"
comment : thank much sharing breast cancer family generations whenever doctor talks imaging mentality “ ’ worried ’ ” mom though thank reminding bc real come age watched videos continue follow journey thank sharing journey us thinking,"['comment', 'thank', 'much', 'share', 'breast', 'cancer', 'family', 'generations', 'whenever', 'doctor', 'talk', 'image', 'mentality', 'worry', 'mom', 'though', 'thank', 'remind', 'bc', 'real', 'come', 'age', 'watch', 'videos', 'continue', 'follow', 'journey', 'thank', 'share', 'journey', 'us', 'think']"
comment : dear beautiful delia stay strong praying israel,"['comment', 'dear', 'beautiful', 'delia', 'stay', 'strong', 'pray', 'israel']"
comment : thank posting putting going doctors way long lot cancer symptoms reason fear hospitals talking family health stopped every time plan going see dr makes frustrated first found lump thought nothing fear could late also autism find hard talk self family ps sorry put wanted peoples thoughts get around fear getting tested going get checked tomorrow best ever video ’ think strong,"['comment', 'thank', 'post', 'put', 'go', 'doctor', 'way', 'long', 'lot', 'cancer', 'symptoms', 'reason', 'fear', 'hospitals', 'talk', 'family', 'health', 'stop', 'every', 'time', 'plan', 'go', 'see', 'dr', 'make', 'frustrate', 'first', 'find', 'lump', 'think', 'nothing', 'fear', 'could', 'late', 'also', 'autism', 'find', 'hard', 'talk', 'self', 'family', 'ps', 'sorry', 'put', 'want', 'people', 'thoughts', 'get', 'around', 'fear', 'get', 'test', 'go', 'get', 'check', 'tomorrow', 'best', 'ever', 'video', 'think', 'strong']"
comment : words coming mind commenting leave,"['comment', 'word', 'come', 'mind', 'comment', 'leave']"
comment : daughter diagnosed ewings sarcoma shes still battling ewings therapy related acute myleoid leukemia covid hard everyone especially cancer patients daughter lower lung removed emergency heart surgery without visitor restrictions sending love light healing thoughts,"['comment', 'daughter', 'diagnose', 'ewings', 'sarcoma', 'shes', 'still', 'battle', 'ewings', 'therapy', 'relate', 'acute', 'myleoid', 'leukemia', 'covid', 'hard', 'everyone', 'especially', 'cancer', 'patients', 'daughter', 'lower', 'lung', 'remove', 'emergency', 'heart', 'surgery', 'without', 'visitor', 'restrictions', 'send', 'love', 'light', 'heal', 'thoughts']"
comment : delia ’ sorry go difficult time pray husband get family guys deserve heal soon strong never give rooting,"['comment', 'delia', 'sorry', 'go', 'difficult', 'time', 'pray', 'husband', 'get', 'family', 'guy', 'deserve', 'heal', 'soon', 'strong', 'never', 'give', 'root']"
comment : ’ patients tell experience terrible taste getting port flushed one recommended pushing tongue roof mouth flush happening swears asked tell patients hope trick helps sending prayers rest journey goes well,"['comment', 'patients', 'tell', 'experience', 'terrible', 'taste', 'get', 'port', 'flush', 'one', 'recommend', 'push', 'tongue', 'roof', 'mouth', 'flush', 'happen', 'swear', 'ask', 'tell', 'patients', 'hope', 'trick', 'help', 'send', 'prayers', 'rest', 'journey', 'go', 'well']"
comment : thank sharing really angel sent god amazing beautiful soul strong light shines makes see blessed life every min take granted love prayers hubby,"['comment', 'thank', 'share', 'really', 'angel', 'send', 'god', 'amaze', 'beautiful', 'soul', 'strong', 'light', 'shin', 'make', 'see', 'bless', 'life', 'every', 'min', 'take', 'grant', 'love', 'prayers', 'hubby']"
comment : pray father creator heaven earth comfort yall carry go valley loves everlasting love,"['comment', 'pray', 'father', 'creator', 'heaven', 'earth', 'comfort', 'yall', 'carry', 'go', 'valley', 'love', 'everlasting', 'love']"
comment : gids amazing healing power upon you🩸🩸,"['comment', 'gids', 'amaze', 'heal', 'power', 'upon']"
comment : ’ strong beautiful woman,"['comment', 'strong', 'beautiful', 'woman']"
comment : praying total healing restoration name jesus,"['comment', 'pray', 'total', 'heal', 'restoration', 'name', 'jesus']"
comment :,['comment']
comment : amazing,"['comment', 'amaze']"
comment : amazing praying,"['comment', 'amaze', 'pray']"
comment : saline flush worst hospital major post op infection def hated saline flush huge pain rush brain many flush quick long got go slow use much surgeries later wasnt bad taste mouth awful especially theyre flushing several times day giving different medications dont knock saying saline worst totally despite surgeries,"['comment', 'saline', 'flush', 'worst', 'hospital', 'major', 'post', 'op', 'infection', 'def', 'hat', 'saline', 'flush', 'huge', 'pain', 'rush', 'brain', 'many', 'flush', 'quick', 'long', 'get', 'go', 'slow', 'use', 'much', 'surgeries', 'later', 'wasnt', 'bad', 'taste', 'mouth', 'awful', 'especially', 'theyre', 'flush', 'several', 'time', 'day', 'give', 'different', 'medications', 'dont', 'knock', 'say', 'saline', 'worst', 'totally', 'despite', 'surgeries']"
comment : sending prayers may god heal,"['comment', 'send', 'prayers', 'may', 'god', 'heal']"
comment : thank brave sharing story dont know personally im praying everyone fighting terrible thing call cancer lost fatherinlaw colon cancer hardest thing watch especially old couldnt treatment praying knowing come winner,"['comment', 'thank', 'brave', 'share', 'story', 'dont', 'know', 'personally', 'im', 'pray', 'everyone', 'fight', 'terrible', 'thing', 'call', 'cancer', 'lose', 'fatherinlaw', 'colon', 'cancer', 'hardest', 'thing', 'watch', 'especially', 'old', 'couldnt', 'treatment', 'pray', 'know', 'come', 'winner']"
comment : always keep fighting beautiful,"['comment', 'always', 'keep', 'fight', 'beautiful']"
comment : wow beautiful woman inside strength amazing sending love prayers,"['comment', 'wow', 'beautiful', 'woman', 'inside', 'strength', 'amaze', 'send', 'love', 'prayers']"
comment : medication wear ppe ’ classified hazardous drugs drugs cause reproductive issues fetal defects ’ dangerous used treatment something even dangerous work children ’ hospital pregnant avoid often,"['comment', 'medication', 'wear', 'ppe', 'classify', 'hazardous', 'drug', 'drug', 'cause', 'reproductive', 'issue', 'fetal', 'defect', 'dangerous', 'use', 'treatment', 'something', 'even', 'dangerous', 'work', 'children', 'hospital', 'pregnant', 'avoid', 'often']"
comment : keep going delia cute strong,"['comment', 'keep', 'go', 'delia', 'cute', 'strong']"
