Text,Tokenized,Sentiment Scores
cancer devil disease cure,"['cancer', 'devil', 'disease', 'cure']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,[],"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
caraaaa stella,"['caraaaa', 'stella']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
never someone accompany treatments would nice,"['never', 'someone', 'accompany', 'treatments', 'would', 'nice']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
update delia still praying,"['update', 'delia', 'still', 'praying']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
wonder much injection chemo costs sad imagine merica dam greedy healthcare system truly heart breaking,"['wonder', 'much', 'injection', 'chemo', 'costs', 'sad', 'imagine', 'merica', 'dam', 'greedy', 'healthcare', 'system', 'truly', 'heart', 'breaking']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
love support young sarah mcwilliams,"['love', 'support', 'young', 'sarah', 'mcwilliams']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
thank much sharing story undergo chemo radiation hodgkin lymphoma seeing undergoing chemo session informative helps take away fear unknown hope well continue strong,"['thank', 'much', 'sharing', 'story', 'undergo', 'chemo', 'radiation', 'hodgkin', 'lymphoma', 'seeing', 'undergoing', 'chemo', 'session', 'informative', 'helps', 'take', 'away', 'fear', 'unknown', 'hope', 'well', 'continue', 'strong']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
updates health hope shes well,"['updates', 'health', 'hope', 'shes', 'well']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
although survived chemo radiation almost 30 years ago 35 aged radiation induced cardiac problems well gonad failure really getting tired,"['although', 'survived', 'chemo', 'radiation', 'almost', '30', 'years', 'ago', '35', 'aged', 'radiation', 'induced', 'cardiac', 'problems', 'well', 'gonad', 'failure', 'really', 'getting', 'tired']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
critical moment try ask help allah alone,"['critical', 'moment', 'try', 'ask', 'help', 'allah', 'alone']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
life short test plss die none muslim everything leaving ya god allah never leaving ya love love prophets adem noah ibraham sulomon gautam krisna moses jesus muhammad 124 000 prophets messengers muslim,"['life', 'short', 'test', 'plss', 'die', 'none', 'muslim', 'everything', 'leaving', 'ya', 'god', 'allah', 'never', 'leaving', 'ya', 'love', 'love', 'prophets', 'adem', 'noah', 'ibraham', 'sulomon', 'gautam', 'krisna', 'moses', 'jesus', 'muhammad', '124', '000', 'prophets', 'messengers', 'muslim']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
medications stem cell transplant 8 years ago feel normal keep fighting,"['medications', 'stem', 'cell', 'transplant', 'years', 'ago', 'feel', 'normal', 'keep', 'fighting']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
thank much sharing story means much people diagnosed scared unknown know easy fun strength gives everyone much hope,"['thank', 'much', 'sharing', 'story', 'means', 'much', 'people', 'diagnosed', 'scared', 'unknown', 'know', 'easy', 'fun', 'strength', 'gives', 'everyone', 'much', 'hope']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
alot braver,"['alot', 'braver']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
beautiful getting chemo,"['beautiful', 'getting', 'chemo']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
looks pretty disease,"['looks', 'pretty', 'disease']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
brother diagnosed rare cancer last week 27years old fibrolamellar rare cancer kids youth adults exposed get understand whyyy brother healthy stage 4 advance familys life change second pray god every single day lord jesus pls lord help brother young doctors know nothing cancer anyone knows specialist rare cancer pls let know asking players brother david,"['brother', 'diagnosed', 'rare', 'cancer', 'last', 'week', '27years', 'old', 'fibrolamellar', 'rare', 'cancer', 'kids', 'youth', 'adults', 'exposed', 'get', 'understand', 'whyyy', 'brother', 'healthy', 'stage', 'advance', 'familys', 'life', 'change', 'second', 'pray', 'god', 'every', 'single', 'day', 'lord', 'jesus', 'pls', 'lord', 'help', 'brother', 'young', 'doctors', 'know', 'nothing', 'cancer', 'anyone', 'knows', 'specialist', 'rare', 'cancer', 'pls', 'let', 'know', 'asking', 'players', 'brother', 'david']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
get well soon saying prayer,"['get', 'well', 'soon', 'saying', 'prayer']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
yesterday hospital exactly port exactly chemo,"['yesterday', 'hospital', 'exactly', 'port', 'exactly', 'chemo']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,[],"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
hi,['hi'],"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
tchandana,['tchandana'],"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
